#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	547.0	4.2	25000	229.7	661.1	178.162720	33.037941
0	50.000	548.0	4.2	25000	229.7	661.1	178.210815	32.995686
0	50.000	549.0	4.2	25000	229.7	661.1	178.217316	32.939880
0	50.000	550.0	4.2	25000	229.7	661.1	178.175781	32.887924
0	50.000	551.0	4.2	25000	229.7	661.1	178.115341	32.865742
0	50.000	552.0	4.2	25000	229.7	661.1	178.056961	32.857735
0	50.000	553.0	4.2	25000	229.7	661.1	178.010651	32.887547
0	50.000	554.0	4.2	25000	229.7	661.1	178.026062	32.921608
0	50.000	555.0	4.2	25000	229.7	661.1	178.084015	32.944561
0	50.000	556.0	4.2	25000	229.7	661.1	178.200821	32.936638
0	50.000	557.0	4.2	25000	229.7	661.1	178.305923	32.895046
0	50.000	558.0	4.2	25000	229.7	661.1	178.348236	32.822090
0	50.000	559.0	4.2	25000	229.7	661.1	178.341644	32.742611
0	50.000	560.0	4.2	25000	229.7	661.1	178.250732	32.681393
0	50.000	561.0	4.2	25000	229.7	661.1	178.115631	32.659901
0	50.000	562.0	4.2	25000	229.7	661.1	178.017395	32.671726
0	50.000	563.0	4.2	25000	229.7	661.1	177.962448	32.718025
0	50.000	564.0	4.2	25000	229.7	661.1	177.992203	32.772602
0	50.000	565.0	4.2	25000	229.7	661.1	178.114838	32.812077
0	50.000	566.0	4.2	25000	229.7	661.1	178.290619	32.809063
0	50.000	567.0	4.2	25000	229.7	661.1	178.450424	32.762089
0	50.000	568.0	4.2	25000	229.7	661.1	178.555496	32.676800
0	50.000	569.0	4.2	25000	229.7	661.1	178.554871	32.577946
0	50.000	570.0	4.2	25000	229.7	661.1	178.422333	32.488667
0	50.000	571.0	4.2	25000	229.7	661.1	178.219482	32.455471
0	50.000	572.0	4.2	25000	229.7	661.1	178.018433	32.468376
0	50.000	573.0	4.2	25000	229.7	661.1	177.884308	32.544285
0	50.000	574.0	4.2	25000	229.7	661.1	177.858658	32.651958
0	50.000	575.0	4.2	25000	229.7	661.1	177.969025	32.735241
0	50.000	576.0	4.2	25000	229.7	661.1	178.174103	32.798691
0	50.000	577.0	4.2	25000	229.7	661.1	178.428436	32.788940
0	50.000	578.0	4.2	25000	229.7	661.1	178.666229	32.711357
0	50.000	579.0	4.2	25000	229.7	661.1	178.787109	32.585827
0	50.000	580.0	4.2	25000	229.7	661.1	178.749252	32.448135
0	50.000	581.0	4.2	25000	229.7	661.1	178.572250	32.321342
0	50.000	582.0	4.2	25000	229.7	661.1	178.275406	32.267754
0	50.000	583.0	4.2	25000	229.7	661.1	177.963837	32.286461
0	50.000	584.0	4.2	25000	229.7	661.1	177.744553	32.400288
0	50.000	585.0	4.2	25000	229.7	661.1	177.661331	32.547462
0	50.000	586.0	4.2	25000	229.7	661.1	177.769058	32.695244
0	50.000	587.0	4.2	25000	229.7	661.1	178.013687	32.803299
0	50.000	588.0	4.2	25000	229.7	661.1	178.368637	32.823994
0	50.000	589.0	4.2	25000	229.7	661.1	178.727783	32.767868
0	50.000	590.0	4.2	25000	229.7	661.1	179.010239	32.638592
0	50.000	591.0	4.2	25000	229.7	661.1	179.125259	32.451591
0	50.000	592.0	4.2	25000	229.7	661.1	179.014420	32.248089
0	50.000	593.0	4.2	25000	229.7	661.1	178.725037	32.089157
0	50.000	594.0	4.2	25000	229.7	661.1	178.311096	32.033035
0	50.000	595.0	4.2	25000	229.7	661.1	177.863083	32.072769
0	50.000	596.0	4.2	25000	229.7	661.1	177.523880	32.220028
0	50.000	597.0	4.2	25000	229.7	661.1	177.374268	32.422813
0	50.000	598.0	4.2	25000	229.7	661.1	177.471558	32.612381
0	50.000	599.0	4.2	25000	229.7	661.1	177.772247	32.785618
0	50.000	600.0	4.2	25000	229.7	661.1	178.232391	32.853001
0	50.000	601.0	4.2	25000	229.7	661.1	178.739838	32.827923
0	50.000	602.0	4.2	25000	229.7	661.1	179.164917	32.706715
0	50.000	603.0	4.2	25000	229.7	661.1	179.423691	32.480099
0	50.000	604.0	4.2	25000	229.7	661.1	179.461884	32.230209
0	50.000	605.0	4.2	25000	229.7	661.1	179.225479	31.990877
0	50.000	606.0	4.2	25000	229.7	661.1	178.749252	31.807283
0	50.000	607.0	4.2	25000	229.7	661.1	178.111450	31.763397
0	50.000	608.0	4.2	25000	229.7	661.1	177.508362	31.874788
0	50.000	609.0	4.2	25000	229.7	661.1	177.106903	32.077366
