#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	571.0	4.2	20000	263.3	475.9	176.158066	32.785049
0	50.000	572.0	4.2	20000	263.3	475.9	175.747543	32.872032
0	50.000	573.0	4.2	20000	263.3	475.9	175.404892	33.006176
0	50.000	574.0	4.2	20000	263.3	475.9	175.191345	33.186398
0	50.000	575.0	4.2	20000	263.3	475.9	175.125336	33.381458
0	50.000	576.0	4.2	20000	263.3	475.9	175.174545	33.596260
0	50.000	577.0	4.2	20000	263.3	475.9	175.362946	33.792278
0	50.000	578.0	4.2	20000	263.3	475.9	175.644348	33.950478
0	50.000	579.0	4.2	20000	263.3	475.9	176.036667	34.050625
0	50.000	580.0	4.2	20000	263.3	475.9	176.492569	34.117634
0	50.000	581.0	4.2	20000	263.3	475.9	176.926254	34.110168
0	50.000	582.0	4.2	20000	263.3	475.9	177.370712	34.064693
0	50.000	583.0	4.2	20000	263.3	475.9	177.783768	33.964024
0	50.000	584.0	4.2	20000	263.3	475.9	178.118240	33.804474
0	50.000	585.0	4.2	20000	263.3	475.9	178.351181	33.609379
0	50.000	586.0	4.2	20000	263.3	475.9	178.468430	33.383072
0	50.000	587.0	4.2	20000	263.3	475.9	178.432098	33.149994
0	50.000	588.0	4.2	20000	263.3	475.9	178.206009	32.910500
0	50.000	589.0	4.2	20000	263.3	475.9	177.837082	32.708755
0	50.000	590.0	4.2	20000	263.3	475.9	177.306458	32.555908
0	50.000	591.0	4.2	20000	263.3	475.9	176.721588	32.496628
0	50.000	592.0	4.2	20000	263.3	475.9	176.111328	32.528290
0	50.000	593.0	4.2	20000	263.3	475.9	175.525024	32.638176
0	50.000	594.0	4.2	20000	263.3	475.9	175.023483	32.816788
0	50.000	595.0	4.2	20000	263.3	475.9	174.682404	33.076527
0	50.000	596.0	4.2	20000	263.3	475.9	174.510010	33.345749
0	50.000	597.0	4.2	20000	263.3	475.9	174.533157	33.626404
0	50.000	598.0	4.2	20000	263.3	475.9	174.703857	33.881618
0	50.000	599.0	4.2	20000	263.3	475.9	175.010925	34.125221
0	50.000	600.0	4.2	20000	263.3	475.9	175.414246	34.338284
0	50.000	601.0	4.2	20000	263.3	475.9	175.921005	34.471119
0	50.000	602.0	4.2	20000	263.3	475.9	176.486298	34.558250
0	50.000	603.0	4.2	20000	263.3	475.9	177.080475	34.581505
0	50.000	604.0	4.2	20000	263.3	475.9	177.666809	34.551628
0	50.000	605.0	4.2	20000	263.3	475.9	178.237015	34.461784
0	50.000	606.0	4.2	20000	263.3	475.9	178.739822	34.310375
0	50.000	607.0	4.2	20000	263.3	475.9	179.147018	34.077137
0	50.000	608.0	4.2	20000	263.3	475.9	179.463516	33.829105
0	50.000	609.0	4.2	20000	263.3	475.9	179.669998	33.521965
0	50.000	610.0	4.2	20000	263.3	475.9	179.690674	33.209965
0	50.000	611.0	4.2	20000	263.3	475.9	179.480408	32.881088
0	50.000	612.0	4.2	20000	263.3	475.9	179.081512	32.566715
0	50.000	613.0	4.2	20000	263.3	475.9	178.480545	32.295536
0	50.000	614.0	4.1	20000	263.3	475.9	177.707550	32.129566
0	50.000	615.0	4.1	20000	263.3	475.9	176.832214	32.051601
0	50.000	616.0	4.1	20000	263.3	475.9	175.907471	32.095394
0	50.000	617.0	4.1	20000	263.3	475.9	175.085739	32.264511
0	50.000	618.0	4.1	20000	263.3	475.9	174.386444	32.515160
0	50.000	619.0	4.1	20000	263.3	475.9	173.913986	32.828770
0	50.000	620.0	4.1	20000	263.3	475.9	173.638199	33.173306
0	50.000	621.0	4.2	20000	263.3	475.9	173.580643	33.555981
0	50.000	622.0	4.2	20000	263.3	475.9	173.730240	33.896976
0	50.000	623.0	4.2	20000	263.3	475.9	174.008179	34.218349
0	50.000	624.0	4.2	20000	263.3	475.9	174.448059	34.486736
0	50.000	625.0	4.2	20000	263.3	475.9	174.951828	34.700172
0	50.000	626.0	4.2	20000	263.3	475.9	175.533035	34.907040
0	50.000	627.0	4.2	20000	263.3	475.9	176.208832	35.017506
0	50.000	628.0	4.1	20000	263.3	475.9	176.902573	35.075134
0	50.000	629.0	4.1	20000	263.3	475.9	177.584900	35.069695
0	50.000	630.0	4.1	20000	263.3	475.9	178.256546	35.017628
0	50.000	631.0	4.1	20000	263.3	475.9	178.953171	34.881805
0	50.000	632.0	4.1	20000	263.3	475.9	179.558487	34.701595
0	50.000	633.0	4.1	20000	263.3	475.9	180.170990	34.428726
0	50.000	634.0	4.1	20000	263.3	475.9	180.601685	34.109505
0	50.000	635.0	4.1	20000	263.3	475.9	180.980026	33.773766
0	50.000	636.0	4.1	20000	263.3	475.9	181.175079	33.389160
0	50.000	637.0	4.1	20000	263.3	475.9	181.125549	32.965549
0	50.000	638.0	4.2	20000	263.3	475.9	180.897476	32.549973
0	50.000	639.0	4.2	20000	263.3	475.9	180.461060	32.168037
0	50.000	640.0	4.2	20000	263.3	475.9	179.707901	31.830662
0	50.000	641.0	4.1	20000	263.3	475.9	178.761566	31.568979
0	50.000	642.0	4.1	20000	263.3	475.9	177.644089	31.401665
0	50.000	643.0	4.1	20000	263.3	475.9	176.391891	31.401447
0	50.000	644.0	4.1	20000	263.3	475.9	175.172867	31.515999
0	50.000	645.0	4.1	20000	263.3	475.9	174.157669	31.784237
0	50.000	646.0	4.1	20000	263.3	475.9	173.319504	32.118824
0	50.000	647.0	4.1	20000	263.3	475.9	172.819809	32.488419
0	50.000	648.0	4.1	20000	263.3	475.9	172.489456	32.923222
0	50.000	649.0	4.1	20000	263.3	475.9	172.424957	33.347012
0	50.000	650.0	4.1	20000	263.3	475.9	172.567474	33.728142
0	50.000	651.0	4.1	20000	263.3	475.9	172.808212	34.108768
0	50.000	652.0	4.1	20000	263.3	475.9	173.256042	34.426083
0	50.000	653.0	4.1	20000	263.3	475.9	173.749100	34.706696
0	50.000	654.0	4.1	20000	263.3	475.9	174.383469	34.942268
0	50.000	655.0	4.1	20000	263.3	475.9	175.074356	35.125175
0	50.000	656.0	4.1	20000	263.3	475.9	175.806793	35.247341
0	50.000	657.0	4.1	20000	263.3	475.9	176.573746	35.326225
0	50.000	658.0	4.1	20000	263.3	475.9	177.339493	35.347626
0	50.000	659.0	4.1	20000	263.3	475.9	178.145630	35.304947
0	50.000	660.0	4.1	20000	263.3	475.9	178.923630	35.220348
0	50.000	661.0	4.1	20000	263.3	475.9	179.712311	35.063072
0	50.000	662.0	4.1	20000	263.3	475.9	180.420898	34.843739
0	50.000	663.0	4.1	20000	263.3	475.9	181.101273	34.580898
0	50.000	664.0	4.1	20000	263.3	475.9	181.699417	34.270386
0	50.000	665.0	4.1	20000	263.3	475.9	182.182739	33.905712
0	50.000	666.0	4.1	20000	263.3	475.9	182.543976	33.483212
0	50.000	667.0	4.1	20000	263.3	475.9	182.771790	33.048107
0	50.000	668.0	4.1	20000	263.3	475.9	182.772079	32.583565
0	50.000	669.0	4.1	20000	263.3	475.9	182.580460	32.128048
0	50.000	670.0	4.1	20000	263.3	475.9	182.162476	31.691740
0	50.000	671.0	4.1	20000	263.3	475.9	181.399643	31.266287
0	50.000	672.0	4.1	20000	263.3	475.9	180.318329	30.931505
0	50.000	673.0	4.1	20000	263.3	475.9	178.976929	30.671570
0	50.000	674.0	4.1	20000	263.3	475.9	177.507812	30.562733
0	50.000	675.0	4.1	20000	263.3	475.9	175.931305	30.627254
0	50.000	676.0	4.1	20000	263.3	475.9	174.470413	30.803362
